Bit storage locations (row, col, channel):
Bit 1 -> Pixel (0, 77, 0)
Bit 0 -> Pixel (0, 77, 1)
Bit 0 -> Pixel (0, 77, 2)
Bit 1 -> Pixel (0, 78, 0)
Bit 0 -> Pixel (0, 78, 1)
Bit 0 -> Pixel (0, 78, 2)
Bit 0 -> Pixel (0, 79, 0)
Bit 0 -> Pixel (0, 79, 1)
Bit 0 -> Pixel (0, 79, 2)
Bit 0 -> Pixel (0, 80, 0)
Bit 1 -> Pixel (0, 80, 1)
Bit 1 -> Pixel (0, 80, 2)
Bit 1 -> Pixel (0, 81, 0)
Bit 0 -> Pixel (0, 81, 1)
Bit 1 -> Pixel (0, 81, 2)
Bit 1 -> Pixel (0, 82, 0)
Bit 1 -> Pixel (0, 82, 1)
Bit 0 -> Pixel (0, 82, 2)
Bit 0 -> Pixel (0, 83, 0)
Bit 1 -> Pixel (0, 83, 1)
Bit 1 -> Pixel (0, 83, 2)
Bit 0 -> Pixel (0, 84, 0)
Bit 0 -> Pixel (0, 84, 1)
Bit 1 -> Pixel (0, 84, 2)
Bit 1 -> Pixel (0, 85, 0)
Bit 0 -> Pixel (0, 85, 1)
Bit 1 -> Pixel (0, 85, 2)
Bit 1 -> Pixel (0, 86, 0)
Bit 1 -> Pixel (0, 86, 1)
Bit 0 -> Pixel (0, 86, 2)
Bit 1 -> Pixel (0, 87, 0)
Bit 1 -> Pixel (0, 87, 1)
Bit 1 -> Pixel (0, 87, 2)
Bit 0 -> Pixel (0, 88, 0)
Bit 0 -> Pixel (0, 88, 1)
Bit 1 -> Pixel (0, 88, 2)
Bit 1 -> Pixel (0, 89, 0)
Bit 0 -> Pixel (0, 89, 1)
Bit 0 -> Pixel (0, 89, 2)
Bit 1 -> Pixel (0, 90, 0)
Bit 1 -> Pixel (0, 90, 1)
Bit 0 -> Pixel (0, 90, 2)
Bit 0 -> Pixel (0, 91, 0)
Bit 1 -> Pixel (0, 91, 1)
Bit 0 -> Pixel (0, 91, 2)
Bit 0 -> Pixel (0, 92, 0)
Bit 0 -> Pixel (0, 92, 1)
Bit 1 -> Pixel (0, 92, 2)
Bit 1 -> Pixel (0, 93, 0)
Bit 0 -> Pixel (0, 93, 1)
Bit 0 -> Pixel (0, 93, 2)
Bit 1 -> Pixel (0, 94, 0)
Bit 0 -> Pixel (0, 94, 1)
Bit 0 -> Pixel (0, 94, 2)
Bit 0 -> Pixel (0, 95, 0)
Bit 1 -> Pixel (0, 95, 1)
Bit 1 -> Pixel (0, 95, 2)
Bit 0 -> Pixel (0, 96, 0)
Bit 0 -> Pixel (0, 96, 1)
Bit 1 -> Pixel (0, 96, 2)
Bit 0 -> Pixel (0, 97, 0)
Bit 0 -> Pixel (0, 97, 1)
Bit 0 -> Pixel (0, 97, 2)
Bit 1 -> Pixel (0, 98, 0)
Bit 1 -> Pixel (0, 98, 1)
Bit 0 -> Pixel (0, 98, 2)
Bit 1 -> Pixel (0, 99, 0)
Bit 0 -> Pixel (0, 99, 1)
Bit 0 -> Pixel (0, 99, 2)
Bit 0 -> Pixel (0, 100, 0)
Bit 1 -> Pixel (0, 100, 1)
Bit 0 -> Pixel (0, 100, 2)
Bit 1 -> Pixel (0, 101, 0)
Bit 0 -> Pixel (0, 101, 1)
Bit 1 -> Pixel (0, 101, 2)
Bit 0 -> Pixel (0, 102, 0)
Bit 0 -> Pixel (0, 102, 1)
Bit 1 -> Pixel (0, 102, 2)
Bit 1 -> Pixel (0, 103, 0)
Bit 1 -> Pixel (0, 103, 1)
Bit 0 -> Pixel (0, 103, 2)
Bit 0 -> Pixel (0, 104, 0)
Bit 1 -> Pixel (0, 104, 1)
Bit 0 -> Pixel (0, 104, 2)
Bit 0 -> Pixel (0, 105, 0)
Bit 0 -> Pixel (0, 105, 1)
Bit 1 -> Pixel (0, 105, 2)
Bit 0 -> Pixel (0, 106, 0)
Bit 0 -> Pixel (0, 106, 1)
Bit 0 -> Pixel (0, 106, 2)
Bit 0 -> Pixel (0, 107, 0)
Bit 1 -> Pixel (0, 107, 1)
Bit 0 -> Pixel (0, 107, 2)
Bit 0 -> Pixel (0, 108, 0)
Bit 0 -> Pixel (0, 108, 1)
Bit 1 -> Pixel (0, 108, 2)
Bit 1 -> Pixel (0, 109, 0)
Bit 0 -> Pixel (0, 109, 1)
Bit 0 -> Pixel (0, 109, 2)
Bit 1 -> Pixel (0, 110, 0)
Bit 0 -> Pixel (0, 110, 1)
Bit 0 -> Pixel (0, 110, 2)
Bit 0 -> Pixel (0, 111, 0)
Bit 1 -> Pixel (0, 111, 1)
Bit 1 -> Pixel (0, 111, 2)
Bit 0 -> Pixel (0, 112, 0)
Bit 0 -> Pixel (0, 112, 1)
Bit 1 -> Pixel (0, 112, 2)
Bit 0 -> Pixel (0, 113, 0)
Bit 0 -> Pixel (0, 113, 1)
Bit 0 -> Pixel (0, 113, 2)
Bit 1 -> Pixel (0, 114, 0)
Bit 1 -> Pixel (0, 114, 1)
